Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/cart/add/anonymous-98/SHCE/1,1,0,96.4639512822032,96.4639512822032,96.4639512822032,96.4639512822032,124.0,0.01693811043348324,0.0,96,96,96,96,96,96,96,96,96,96,96
GET,/api/cart/cart/anonymous-31,1,0,6.288624368607998,6.288624368607998,6.288624368607998,6.288624368607998,215.0,0.01693811043348324,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/cart/cart/anonymous-32,1,0,6.904207170009613,6.904207170009613,6.904207170009613,6.904207170009613,219.0,0.01693811043348324,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/cart/cart/anonymous-33,1,0,7.193027064204216,7.193027064204216,7.193027064204216,7.193027064204216,225.0,0.01693811043348324,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/cart/cart/anonymous-34,1,0,6.478843279182911,6.478843279182911,6.478843279182911,6.478843279182911,222.0,0.01693811043348324,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/cart/cart/anonymous-35,1,0,6.895446218550205,6.895446218550205,6.895446218550205,6.895446218550205,200.0,0.01693811043348324,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/cart/cart/anonymous-36,1,0,7.647124119102955,7.647124119102955,7.647124119102955,7.647124119102955,226.0,0.01693811043348324,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/cart/cart/anonymous-37,1,0,9.265583008527756,9.265583008527756,9.265583008527756,9.265583008527756,223.0,0.01693811043348324,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/api/cart/cart/anonymous-38,1,0,10.942441411316395,10.942441411316395,10.942441411316395,10.942441411316395,205.0,0.01693811043348324,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/cart/cart/anonymous-39,1,0,7.519411854445934,7.519411854445934,7.519411854445934,7.519411854445934,221.0,0.01693811043348324,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/cart/cart/anonymous-40,1,0,10.011086240410805,10.011086240410805,10.011086240410805,10.011086240410805,217.0,0.01693811043348324,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/cart/cart/anonymous-41,1,0,7.687426172196865,7.687426172196865,7.687426172196865,7.687426172196865,198.0,0.01693811043348324,0.0,8,8,8,8,8,8,8,8,8,8,8
